"Authors","Author full names","Author(s) ID","Title","DOI","Link","Abstract"
"Curriero F.C.; Heiner K.S.; Samet J.M.; Zeger S.L.; Strug L.; Patz J.A.","Curriero, Frank C. (6602174150); Heiner, Karlyn S. (6507820164); Samet, Jonathan M. (35396805300); Zeger, Scott L. (7006338489); Strug, Lisa (6602663170); Patz, Jonathan A. (7005533678)","6602174150; 6507820164; 35396805300; 7006338489; 6602663170; 7005533678","Temperature and mortality in 11 cities of the eastern United States","10.1093/aje/155.1.80","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036137966&doi=10.1093%2faje%2f155.1.80&partnerID=40&md5=b5167b355ec0979537afed0f51646c52","Episodes of extremely hot or cold temperatures are associated with increased mortality. Time-series analyses show an association between temperature and mortality across a range of less extreme temperatures. In this paper, the authors describe the temperature-mortality association for 11 large eastern US cities in 1973-1994 by estimating the relative risks of mortality using log-linear regression analysis for time-series data and by exploring city characteristics associated with variations in this temperature-mortality relation. Current and recent days' temperatures were the weather components most strongly predictive of mortality, and mortality risk generally decreased as temperature increased from the coldest days to a certain threshold temperature, which varied by latitude, above which mortality risk increased as temperature increased. The authors also found a strong association of the temperature-mortality relation with latitude, with a greater effect of colder temperatures on mortality risk in more-southern cities and of warmer temperatures in more-northern cities. The percentage of households with air conditioners in the south and heaters in the north, which serve as indicators of socioeconomic status of the city population, also predicted weather-related mortality. The model developed in this analysis is potentially useful for projecting the consequences of climate-change scenarios and offering insights into susceptibility to the adverse effects of weather."
"Harnden A.; Alves B.; Sheikh A.","Harnden, Anthony (6603975055); Alves, Bernadette (7004069510); Sheikh, Aziz (7202522962)","6603975055; 7004069510; 7202522962","Rising incidence of Kawasaki disease in England: Analysis of hospital admission data","10.1136/bmj.324.7351.1424","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0037097827&doi=10.1136%2fbmj.324.7351.1424&partnerID=40&md5=eb067b53f8e8e487b8be8976da06bffb","[No abstract available]"
"Kim Y.-H.; Baik J.-J.","Kim, Yeon-Hee (57203809453); Baik, Jong-Jin (7006635125)","57203809453; 7006635125","Maximum urban heat island intensity in Seoul","10.1175/1520-0450(2002)041<0651:MUHIII>2.0.CO;2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036602638&doi=10.1175%2f1520-0450%282002%29041%3c0651%3aMUHIII%3e2.0.CO%3b2&partnerID=40&md5=f1c1545ecf3eda57595f538fb7b0f759","The maximum urban heat island (UHI) intensity in Seoul, Korea, is investigated using data measured at two meteorological observatories (an urban site and a rural site) during the period of 1973-96. The average maximum UHI is weakest in summer and is strong in autumn and winter. Similar to previous studies for other cities, the maximum UHI intensity is more frequently observed in the nightime than in the daytime, decreases with increasing wind speed, and is pronounced for clear skies. A multiple linear regression analysis is performed to relate the maximum UHI to meteorological elements. Four predictors considered in this study are the maximum UHI intensity for the previous day, wind speed, cloudiness, and relative humidity. The previous-day maximum UHI intensity is positively correlated with the maximum UHI, and the wind speed, cloudiness, and relative humidity are negatively correlated with the maximum UHI intensity. Among the four predictors, the previous-day maximum UHI intensity is the most important. The relative importance among the predictors varies depending on time of day and season. A three-layer back-propagation neural network model with the four predictors as input units is constructed to predict the maximum UHI intensity in Seoul, and its performance is compared with that of a multiple linear regression model. For all test datasets, the neural network model improves upon the regression model in predicting the maximum UHI intensity. The improvement of the neural network model upon the regression model is 6.3% for the unstratified test data, is higher in the daytime (6.1%) than in the nightime (3.3%), and ranges from 0.8% in spring to 6.5% in winter."
"Lange P.; Parner J.; Schnohr P.; Jensen G.","Lange, P. (36049158200); Parner, J. (6603565947); Schnohr, P. (7005259037); Jensen, G. (8972737400)","36049158200; 6603565947; 7005259037; 8972737400","Copenhagen City Heart Study: Longitudinal analysis of ventilatory capacity in diabetic and nondiabetic adults","10.1183/09031936.02.00050502","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036900816&doi=10.1183%2f09031936.02.00050502&partnerID=40&md5=70cb813673a10035a175648c4fa7af1c","The natural history of lung function in diabetes is unknown due to the lack of longitudinal observations. The decline of forced expiratory volume in one second (FEV1) and forced vital capacity (FVC) was studied over 15 yrs in the 17,506 adult participants of The Copenhagen City Heart Study, which included 266 individuals with diabetes. Multiple linear regression and a mixed-effects model were used, taking into account correlation between repeated measurements and adjusting for relevant confounders. In both sexes, FEV1 and FVC were consistently lower in diabetic individuals, compared with healthy individuals, with an average reduction of ∼8% of the predicted value. Longitudinal analyses showed that the decline of FEV1 and FVC in diabetic individuals was similar to that observed in nondiabetic subjects. It was concluded that although diabetic subjects have, on average, a lower forced expiratory volume in one second and forced vital capacity than individuals without diabetes, this deficit seems not to be progressive in the long term. These observations may be of importance with regard to diabetes treatment with inhaled pulmonary insulin, which is likely to become available within a few years."
"Preston D.L.; Ron E.; Yonehara S.; Kobuke T.; Fujii H.; Kishikawa M.; Tokunaga M.; Tokuoka S.; Mabuchi K.","Preston, Dale L. (7101893034); Ron, Elaine (16937023400); Yonehara, Shuji (24297107200); Kobuke, Toshihiro (6603229981); Fujii, Hideharu (57671747000); Kishikawa, Masao (55232099000); Tokunaga, Masayoshi (7202267115); Tokuoka, Shoji (7005208941); Mabuchi, Kiyohiko (7102185516)","7101893034; 16937023400; 24297107200; 6603229981; 57671747000; 55232099000; 7202267115; 7005208941; 7102185516","Tumors of the nervous system and pituitary gland associated with atomic bomb radiation exposure","10.1093/jnci/94.20.1555","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0037120947&doi=10.1093%2fjnci%2f94.20.1555&partnerID=40&md5=758a3e8913d8af2615fc8cec2c925c44","Background: The risk of developing nervous system tumors following exposure to ionizing radiation is not well quantified We characterized the incidence of nervous system tumors among atomic bomb survivors as a function of radiation dose. Methods: Tumors of the nervous system and pituitary gland diagnosed between 1958 and 1995 among 80 160 atomic bomb survivors were ascertained using the Hiroshima and Nagasaki tumor registries, medical records, and death certificates. Pathologists reviewed slides and medical records to provide histologic diagnoses. Poisson regression analyses were used to characterize radiation effects on tumor incidence, which are expressed as excess relative risk per sievert (ERRSv). All statistical tests were two-sided. Results: A statistically significant dose-related excess of nervous system tumors was observed in the cohort (ERRSv = 1.2, 95% confidence Interval [CI] = 0.6 to 2.1). The highest ERRSv was seen for schwannoma (4.5, 95% CI = 1.9 to 9.2). The risk for all other nervous system tumors as a group is also statistically significantly elevated (ERRSv = 0.6, 95% CI = 0.1 to 1.3). Risk increases, although not statistically significant, were seen for meningiomas (ERRSv = 0.6, 95% CI = -0.01 to 1.8), gliomas (ERRSv = 0.6, 95% CI = -0.2 to 2.0), other nervous system tumors (ERRSv = 0.5, 95% CI = <-0.2 to 2.2), and pituitary tumors (ERRSv = 1.0, 95% CI = <-0.2 to 3.5). The dose-response relationships were linear. For nervous system tumors other than schwannoma, excess risks were higher for men than for women and for those exposed during childhood than for those exposed during adulthood. Conclusions: A statistically significant dose response was observed for all nervous system tumors combined and for schwannoma considered separately, indicating that exposure to even moderate doses (i.e., <1 Sv) of radiation is associated with an elevated incidence of nervous system tumors."
"Stouthamer-Loeber M.; Loeber R.; Wei E.; Farrington D.P.; Wikström P.-O.H.","Stouthamer-Loeber, Magda (57208459658); Loeber, Rolf (7005202541); Wei, Evelyn (7102156314); Farrington, David P. (7006559478); Wikström, Per-Olof H. (36771786500)","57208459658; 7005202541; 7102156314; 7006559478; 36771786500","Risk and promotive effects in the explanation of persistent serious delinquency in boys","10.1037/0022-006X.70.1.111","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036168559&doi=10.1037%2f0022-006X.70.1.111&partnerID=40&md5=19bfc1e294416adabf5e421e1ba8b94b","Risk and promotive effects were investigated as predictors of persistent serious delinquency in male participants of the Pittsburgh Youth Study (R. Loeber, D. P. Farrington, M. Stouthamer-Loeber, & W. B. van Kammen, 1998), living in different neighborhoods. Participants were studied over ages 13-19 years for the oldest sample and 7-13 years for the youngest sample. Risk and promotive effects were studied in 6 domains: child behavior, child attitudes, school and leisure activities, peer behaviors, family functioning, and demographics. Regression models improved when promotive effects were included with risk effects in predicting persistent serious delinquency. Disadvantaged neighborhoods, compared with better neighborhoods, had a higher prevalence of risk effects and a lower prevalence of promotive effects. However, predictive relations between risk and promotive effects and persistent serious delinquency were linear and similar across neighborhood socioeconomic status."
"Hahn J.; Hausman J.","Hahn, Jinyong (7202494215); Hausman, Jerry (7006286384)","7202494215; 7006286384","A new specification test for the validity of instrumental variables","10.1111/1468-0262.00272","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036220263&doi=10.1111%2f1468-0262.00272&partnerID=40&md5=7271052b0cfc2fcd526cb91bb60730b2","We develop a new specification test for IV estimators adopting a particular second order approximation of Bekker. The new specification test compares the difference of the forward (conventional) 2SLS estimator of the coefficient of the right-hand side endogenous variable with the reverse 2SLS estimator of the same unknown parameter when the normalization is changed. Under the null hypothesis that conventional first order asymptotics provide a reliable guide to inference, the two estimates should be very similar. Our test sees whether the resulting difference in the two estimates satisfies the results of second order asymptotic theory. Essentially the same idea is applied to develop another new specification test using second-order unbiased estimators of the type first proposed by Nagar. If the forward and reverse Nagar-type estimators are not significantly different we recommend estimation by LIML, which we demonstrate is the optimal linear combination of the Nagar-type estimators (to second order). We also demonstrate the high degree of similarity for k-class estimators between the approach of Bekker and the Edgeworth expansion approach of Rothenberg. An empirical example and Monte Carlo evidence demonstrate the operation of the new specification test."
"James R.A.; Hertz-Picciotto I.; Willman E.; Keller J.A.; Judith Charles M.","James, Rebecca A. (56220145100); Hertz-Picciotto, Irva (7006735866); Willman, Eric (6603343338); Keller, Jean A. (57213081816); Judith Charles, M. (10639405900)","56220145100; 7006735866; 6603343338; 57213081816; 10639405900","Determinants of serum polychlorinated biphenyls and organochlorine pesticides measured in women from the Child Health and Development Study cohort, 1963-1967","10.1289/ehp.02110617","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036058941&doi=10.1289%2fehp.02110617&partnerID=40&md5=cab206f414d200a67a7f14daa8dcf6ca","We examined predictors of organochlorine concentrations in serum specimens from women who were pregnant in the 1960s and participated in the Child Health and Development Study in the San Francisco Bay Area of California. That study enrolled pregnant women at the Kaiser-Permanente Medical Facilities, conducted interviews, and drew blood specimens; these specimens were centrifuged and the resulting serum specimens were frozen and placed in long-term storage. For the current investigation, organochlorines were measured by dual-column GC-electron capture detection in specimens collected in 1963-1967 from 399 pregnant women during the second and third trimesters. Using multiple linear regression models adjusted for serum lipids, we evaluated factors predicting concentrations of 11 polychlorinated biphenyl (PCB) congeners, their sum, and several pesticides and metabolites. Variables evaluated were age, race, place of birth, date of blood draw, body mass index, occupation, past residence on a farm, parity, and duration of pregnancy at blood draw. Concentrations of highly chlorinated PCBs and the sum of the PCBs increased with age. Concentrations of certain PCB congeners, as well as the sum, were significantly higher among nonwhites and increased with calendar date of blood draw. p,p′-DDT and p,p-DDE concentrations were about 50% higher for nonwhites compared with whites and for those born in California or the southeastern United States versus elsewhere in the United States. Higher body mass index was associated with lower concentrations of several PCBs and p,p′-DDE but with higher heptachlor epoxide and DDT levels. The increase in use of PCBs during the 1960s is apparently detectable as increasing concentrations in maternal sera between 1963 and 1967. Marked racial and regional differences in serum pesticide levels were likely caused by geographic variation in previous agricultural and vector-control uses. The relationship to body mass index appears to be complex."
"Austin M.P","Austin, M.P (7202193901)","7202193901","Spatial prediction of species distribution: An interface between ecological theory and statistical modelling","10.1016/S0304-3800(02)00205-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0037202447&doi=10.1016%2fS0304-3800%2802%2900205-3&partnerID=40&md5=4cb1ccf40df7165ed9c3a1acb200d196","Neglect of ecological knowledge is a limiting factor in the use of statistical modelling to predict species distribution. Three components are needed for statistical modelling, an ecological model concerning the ecological theory to be used or tested, a data model concerning the collection and measurement of the data, and a statistical model concerning the statistical theory and methods used. This component framework is reviewed with emphasis on ecological theory. The expected shape of a species response curve to an environmental gradient is a central assumption on which agreement has yet to be reached. The nature of the environmental predictors whether indirect variables, e.g. latitude that have no physiological impact on plants, or direct variables, e.g. temperature also influence the type of response expected. Straight-line relationships between organisms and environment are often used uncritically. Many users of canonical correlation analysis use linear (straight-line) functions to relate ordination axes to variables such as slope and aspect though this is not a necessary part of the method. Some statisticians have used straight lines for species/environment relationships without testing, when evaluating new statistical procedures. Assumptions used in one component often conflict with those in another component. Statistical models can be used to explore ecological theory. Skewed species response curves predominate contrary to the symmetric unimodal curves assumed by some statistical methods. Improvements in statistical modelling can be achieved based on ecological concepts. Examples include incorporating interspecific competition from dominant species; more proximal predictors based on water balance models and spatial autocorrelation procedures to accommodate non-equilibrium vegetation. © 2002 Elsevier Science B.V. All rights reserved."
"Bean J.F.; Kiely D.K.; Leveille S.G.; Herman S.; Huynh C.; Fielding R.; Frontera W.","Bean, Jonathan F. (7102286460); Kiely, Dan K. (7006817047); Leveille, Suzanne G. (7005052590); Herman, Seth (56119739600); Huynh, Charlie (36783408900); Fielding, Roger (7102200486); Frontera, Walter (7006370401)","7102286460; 7006817047; 7005052590; 56119739600; 36783408900; 7102200486; 7006370401","The 6-minute walk test in mobility-limited elders: What is being measured?","10.1093/gerona/57.11.M751","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036847660&doi=10.1093%2fgerona%2f57.11.M751&partnerID=40&md5=4c560a92c1beeb4636599541dd52ed4d","Background. The 6-minute walk (6mw) is a well-established measure of aerobic capacity in elders with cardiorespiratory and peripheral vascular disease and may be an accurate measure of functional performance in healthy elders. In mobility-limited elders, a population at risk for disability, impairments in strength and power are predictive of performance-based measures of function. Though commonly utilized as an outcome measure among otherwise healthy mobility-limited elders, it is not clear whether the 6mw best represents a measure of functional limitation, aerobic capacity, or both. Methods. We hypothesized that the 6mw would be strongly representative of performance-based measures of function being determined by impairments in muscle strength and power. We performed a cross-sectional analysis of 45 community-dwelling elders with mild to moderate mobility limitations. Results. The 6mw was strongly associated with established functional measures (r = .61-.83; p < .001), but was poorly associated with indirect measures of aerobic capacity (r < .25; p > .05). Multivariate linear regression models demonstrated that impairments in leg strength and power, especially those at the knee and ankle, were predictive of 6mw performance. Conclusions. These findings emphasize the 6mw as a measure of functional limitation among mobility-limited elders without cardiorespiratory or peripheral vascular disease."
"Rohlfing C.L.; Wiedmeyer H.-M.; Little R.R.; England J.D.; Tennill A.; Goldstein D.E.","Rohlfing, Curt L. (6701675097); Wiedmeyer, Hsiao-Mei (6601916559); Little, Randie R. (7202638950); England, Jack D. (7103114164); Tennill, Alethea (6507676580); Goldstein, David E. (35500028800)","6701675097; 6601916559; 7202638950; 7103114164; 6507676580; 35500028800","Defining the relationship between plasma glucose and HbA1c: Analysis of glucose profiles and HbA1c in the Diabetes Control and Complications Trial","10.2337/diacare.25.2.275","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036482285&doi=10.2337%2fdiacare.25.2.275&partnerID=40&md5=5b0d3df520db5403fe425ce669290ab0","OBJECTIVE - To define the relationship between HbA1c and plasma glucose (PG) levels in patients with type 1 diabetes using data from the Diabetes Control and Complications Trial (DCCT). RESEARCH DESIGN AND METHODS - The DCCT was a multicenter, randomized clinical trial designed to compare intensive and conventional therapies and their relative effects on the development and progression of diabetic complications in patients with type 1 diabetes. Quarterly HbA1c and corresponding seven-point capillary blood glucose profiles (premeal, postmeal, and bedtime) obtained in the DCCT were analyzed to define the relationship between HbA1c and PG. Only data from complete profiles with corresponding HbA1c were used (n = 26,056). Of the 1,441 subjects who participated in the study, 2 were excluded due to missing data. Mean plasma glucose (MPG) was estimated by multiplying capillary blood glucose by 1.11. Linear regression analysis weighted by the number of observations per subject was used to correlate MPG and HbA 1c. RESULTS - Linear regression analysis, using MPG and HbA 1c summarized by patient (n = 1,439), produced a relationship of MPG (mmol/l) = (1.98·HbA1c) - 4.29 or MPG (mg/dl) = (35.6·HbA1c) - 77.3, r = 0.82). Among individual time points, afternoon and evening PG (postlunch, predinner, postdinner, and bedtime) showed higher correlations with HbA1c than the morning time points (prebreakfast, postbreakfast, and prelunch). CONCLUSIONS - We have defined the relationship between HbA1c and PG as assessed in the DCCT. Knowing this relationship can help patients with diabetes and their healthcare providers set day-to-day targets for PG to achieve specific HbA1c goals."
"Carroll T.J.; Riek S.; Carson R.G.","Carroll, Timothy J. (35274525300); Riek, Stephan (6701820072); Carson, Richard G. (7202926065)","35274525300; 6701820072; 7202926065","The sites of neural adaptation induced by resistance training in humans","10.1113/jphysiol.2002.024463","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0037107453&doi=10.1113%2fjphysiol.2002.024463&partnerID=40&md5=9f7de6938c2b0914a32b777faf9cf5cd","Although it has long been supposed that resistance training causes adaptive changes in the CNS, the sites and nature of these adaptations have not previously been identified. In order to determine whether the neural adaptations to resistance training occur to a greater extent at cortical or subcortical sites in the CNS, we compared the effects of resistance training on the electromyographic (EMG) responses to transcranial magnetic (TMS) and electrical (TES) stimulation. Motor evoked potentials (MEPs) were recorded from the first dorsal interosseous muscle of 16 individuals before and after 4 weeks of resistance training for the index finger abductors (n=8), or training involving finger abduction-adduction without external resistance (n = 8). TMS was delivered at rest at intensities from 5% below the passive threshold to the maximal output of the stimulator. TMS and TES were also delivered at the active threshold intensity while the participants exerted torques ranging from 5 to 60% of their maximum voluntary contraction (MVC) torque. The average latency of MEPs elicited by TES was significantly shorter than that of TMS MEPs (TES latency = 21.5 ± 1.4 ms; TMS latency = 23.4 ± 1.4 ms; P < 0.05), which indicates that the site of activation differed between the two forms of stimulation. Training resulted in a significant increase in MVC torque for the resistance-training group, but not the control group. There were no statistically significant changes in the corticospinal properties measured at rest for either group. For the active trials involving both TMS and TES, however, the slope of the relationship between MEP size and the torque exerted was significantly lower after training for the resistance-training group (P < 0.05). Thus, for a specific level of muscle activity, the magnitude of the EMG responses to both forms of transcranial stimulation were smaller following resistance training. These results suggest that resistance training changes the functional properties of spinal cord circuitry in humans, but does not substantially affect the organisation of the motor cortex."
"Bonde J.P.; Joffe M.; Apostoli P.; Dale A.; Kiss P.; Spano M.; Caruso F.; Giwercman A.; Bisanti L.; Porru S.; Vanhoorne M.; Comhaire F.; Zschiesche W.","Bonde, J.P. (7005973020); Joffe, M. (7102859487); Apostoli, P. (35463605200); Dale, A. (57197319451); Kiss, P. (56241021100); Spano, M. (7006791001); Caruso, F. (57214588335); Giwercman, A. (57203076377); Bisanti, L. (16748949000); Porru, S. (57190109731); Vanhoorne, M. (7004255487); Comhaire, F. (7101927534); Zschiesche, W. (7006103229)","7005973020; 7102859487; 35463605200; 57197319451; 56241021100; 7006791001; 57214588335; 57203076377; 16748949000; 57190109731; 7004255487; 7101927534; 7006103229","Sperm count and chromatin structure in men exposed to inorganic lead: Lowest adverse effect levels","10.1136/oem.59.4.234","https://www.scopus.com/inward/record.uri?eid=2-s2.0-18344365004&doi=10.1136%2foem.59.4.234&partnerID=40&md5=99e627269fca5a9a9aa328b02b8c210a","Objectives: To obtain knowledge on male reproductive toxicity of inorganic lead at current European exposure levels and to establish lowest adverse effect levels, if any. Methods: A cross sectional survey of the semen of 503 men employed by 10 companies was conducted in the United Kingdom, Italy, and Belgium. The mean blood lead concentration was 31.0 μg/dl (range 4.6-64.5) in 362 workers exposed to lead and 4.4 μg/dl (range below the detection limit of 19.8) in 141 reference workers. Semen volume and sperm concentration were determined in a fresh semen sample according to an agreed protocol subject to quality assurance. The sperm chromatin structure assay (SCSA) was performed at a centralised laboratory. Extraneous determinants including centre, period of sexual abstinence, and age were taken into account in the statistical analysis. If appropriate, possible thresholds were examined by iterative threshold slope linear regression. Results: The median sperm concentration was reduced by 49% in men with blood lead concentration above 50 μg/dl. There was no indication of a linear trend of lower sperm concentration with increasing blood lead values, but threshold slope least square regression identified a blood lead concentration of 44 μg/dl (β=-0.037, F=4.35, p=0.038) as a likely threshold. Abnormal sperm chromatin structure was not related to blood lead concentration, but some indications of deterioration of sperm chromatin was found in men with the highest concentrations of lead within spermatozoa. Biological monitoring data did not indicate long term effects of lead on semen quantity or sperm chromatin. Conclusion: Adverse effects of lead on sperm concentration and susceptibility to acid induced denaturation of sperm chromatin are unlikely at blood lead concentrations below 45 μg/dl. Effects of low level exposure to lead on other measures of testicular function cannot be ruled out."
"Claesson M.; Armitage W.J.; Fagerholm P.; Stenevi U.","Claesson, M. (7102678954); Armitage, W.J. (7006207117); Fagerholm, P. (7005259573); Stenevi, U. (7005340281)","7102678954; 7006207117; 7005259573; 7005340281","Visual outcome in corneal grafts: A preliminary analysis of the Swedish Corneal Transplant Register","10.1136/bjo.86.2.174","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036163820&doi=10.1136%2fbjo.86.2.174&partnerID=40&md5=97bbae67b2e2cc4ae82c9a09ec6dcb86","Aim: To assess visual outcome and the incidence of complications at 2 years postoperatively in corneal grafts reported to the Swedish Corneal Transplant Register. Methods: Preoperative and 2 year follow up data were submitted to the Swedish Corneal Transplant Register by surgeons in eight corneal transplant clinics in Sweden. Preoperative data on 1957 grafts and 520 grafts with 2 year follow up were included in the analysis. Data were analysed by multiple linear and logistic regression methods, as appropriate. Results: The major diagnostic categories were keratoconus (29%), bullous keratopathy (21%), and ""other diagnosis"" (32%). Fuchs' endothelial dystrophy and stromal dystrophies accounted for 15% and 3% of grafts, respectively. At 2 years the overall incidence of complications, other than rejection and regrafting, was 26%, with an increasing frequency from keratoconus < Fuchs' dystrophy < bullous keratopathy < ""other diagnosis."" Rejection was observed in 15% of grafts and was more likely in the bullous keratopathy (OR 3.1, 95% Cl 1.1 to 9.0, p=O.04) and ""other diagnosis"" (OR 2.6, 95% Cl 1.1 to 5.9, p=0.03) groups. Regrafting, which occurred in 10% af cases, was not influenced by diagnosis, but it was related to the incidence of rejection (OR 14.8, 95% Cl 6.1 to 35.9, p<0.001) and other complications (OR 4.4, 95% Cl 1.9 to 10.4, p=0.001), and to the presence of other sight threatening pathology in the eye (OR 3.6, 95% Cl 1.3 to 9.9, p=0.01). Visual acuity was improved in a high proportion of the patients, especially those with keratoconus and Fuchs' dystrophy where, respectively, 86% and 54% of grafts achieved a visual acuity of ≥0.5 at 2 years, compared with only 31% with bullous keratopathy and 35% in the ""other diagnosis"" group. 60% of grafts for keratoconus and Fuchs' dystrophy achieved a visual acuity equal to or better than the other eye. Postoperative astigmatism was higher in the bullous keratopathy (p=0.01) group. Patients with high astigmatism benefited from refractive surgery, showing a reduction from 7.9 (95%Cl 6.9, 8.7) to 3.2 (95% Cl 2.6, 3.9) dioptres (p<0.001). A centre effect was evident in visual outcome. Conclusion: The overall incidence of complications was related to diagnosis. Complications other than rejection and regrafting were most likely in the ""other diagnosis group, and further analysis of this group is therefore planned. The best improvement in visual acuity and the lowest astigmatism were achieved in the keratoconus and Fuchs' dystrophy groups; but the influence of diagnosis on astigmatism was small and, overall, the statistical model accounted for only 8% of the variability in astigmatism. Refractive surgery was, however, effective in reducing astigmatism. It is hoped that a better understanding of the factors that determine the visual outcome of grafts will emerge from future analyses of the Swedish Corneal Transplant Register, helping to refine the criteria for patient selection and to guide clinical practice."
"Leypoldt J.K.; Cheung A.K.; Delmez J.A.; Gassman J.J.; Levin N.W.; Breyer Lewis J.A.; Lewis J.L.; Rocco M.V.","Leypoldt, John K. (7006658810); Cheung, Alfred K. (7401806370); Delmez, James A. (7005234156); Gassman, Jennifer J. (6603734260); Levin, Nathan W. (26642936300); Breyer Lewis, Julia A. (7003542085); Lewis, James L. (55484017300); Rocco, Michael V. (7101738237)","7006658810; 7401806370; 7005234156; 6603734260; 26642936300; 7003542085; 55484017300; 7101738237","Relationship between volume status and blood pressure during chronic hemodialysis","10.1046/j.1523-1755.2002.00099.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036145276&doi=10.1046%2fj.1523-1755.2002.00099.x&partnerID=40&md5=5c4ee33276ae6cfce5dbe4edaba0737e","Background. The relationship between volume status and blood pressure (BP) in chronic hemodialysis (HD) patients remains incompletely understood. Specifically, the effect of interdialytic fluid accumulation (or intradialytic fluid removal) on BP is controversial. Methods. We determined the association of the intradialytic decrease in body weight (as an indicator of interdialytic fluid gain) and the intradialytic decrease in plasma volume (as an indicator of postdialysis volume status) with predialysis and postdialysis BP in a cross-sectional analysis of a subset of patients (N = 468) from the Hemodialysis (HEMO) Study. Fifty-five percent of patients were female, 62% were black, 43% were diabetic and 72% were prescribed antihypertensive medications. Dry weight was defined as the postdialysis body weight below which the patient developed symptomatic hypotension or muscle cramps in the absence of edema. The intradialytic decrease in plasma volume was calculated from predialysis and postdialysis total plasma protein concentrations and was expressed as a percentage of the plasma volume at the beginning of HD. Results. Predialysis systolic and diastolic BP values were 153.1 ± 24.7 (mean ± SD) and 81.7 ± 14.8 mm Hg, respectively; postdialysis systolic and diastolic BP values were 136.6 ± 22.7 and 73.9 ± 13.6 mm Hg, respectively. As a result of HD, body weight was reduced by 3.1 ± 1.3 kg and plasma volume was contracted by 10.1 ± 9.5%. Multiple linear regression analyses showed that each kg reduction in body weight during HD was associated with a 2.95 mm Hg (P = 0.004) and a 1.65 mm Hg (P = NS) higher predialysis and postdialysis systolic BP, respectively. In contrast, each 5% greater contraction of plasma volume during HD was associated with a 1.50 mm Hg (P = 0.026) and a 2.56 mm Hg (P < 0.001) lower predialysis and postdialysis systolic BP, respectively. The effects of intradialytic decreases in body weight and plasma volume were greater on systolic BP than on diastolic BP. Conclusions. HD treatment generally reduces BP, and these reductions in BP are associated with intradialytic decreases in both body weight and plasma volume. The absolute predialysis and postdialysis BP levels are influenced differently by acute intradialytic decreases in body weight and acute intradialytic decreases in plasma volume; these parameters provide different information regarding volume status and may be dissociated from each other. Therefore, evaluation of volume status in chronic HD patients requires, at minimum, assessments of both interdialytic fluid accumulation (or the intradialytic decrease in body weight) and postdialysis volume overload."
"Ferrer M.; Villasante C.; Alonso J.; Sobradillo V.; Gabriel R.; Vilagut G.; Masa J.F.; Viejo J.L.; Jiménez-Ruiz C.A.; Miravitlles M.","Ferrer, M. (7202504146); Villasante, C. (7003594256); Alonso, J. (7403482329); Sobradillo, V. (7003308462); Gabriel, R. (7103316027); Vilagut, G. (6602130084); Masa, J.F. (7003898125); Viejo, J.L. (6604044208); Jiménez-Ruiz, C.A. (7005952265); Miravitlles, M. (7004909276)","7202504146; 7003594256; 7403482329; 7003308462; 7103316027; 6602130084; 7003898125; 6604044208; 7005952265; 7004909276","Interpretation of quality of life scores from the St George's Respiratory Questionnaire","10.1183/09031936.02.00213202","https://www.scopus.com/inward/record.uri?eid=2-s2.0-18344386781&doi=10.1183%2f09031936.02.00213202&partnerID=40&md5=43c611dafcf880bb5191909119073eb8","The aim of the study was to obtain the general population norms for the St. George's Respiratory Questionnaire (SGRQ), a specific questionnaire for respiratory diseases. The IBERPOC project was a cross-sectional study of representative samples of the general population aged between 40-69 yrs. The study sample was composed of 862 individuals. All participants considered as ""probable cases"" of chronic obstructive pulmonary disease (COPD) (n=460) were eligible to complete the SGRQ and among the rest of the nonprobable COPD participants (n=3,571), 10 individuals from each defined age and sex group were eligible (n=402). Weights were applied to restore general population representativity of the sample. Mean forced expiratory volume in one second (FEV1) predicted was 89.4% (SD=16.5%; range: 16-131%). Chronbach's alpha coefficients were >0.7 in the symptoms, activity and impact scales, and >0.9 in the overall scale. Symptom scale score was significantly higher among males (11.6 versus 7.8; p<0.01) and activity scale score was significantly higher among females (12.2 versus 14.6; p=0.04). In a multiple linear regression model, respiratory diseases (asthma and COPD) and FEV1% over pred showed the strongest association with the SGRQ total score. Smoking, sex, age and education were independently associated with the total SGRQ score. These results indicate that individuals from the general population presented some of the problems that are important when measuring health-related quality of life in respiratory patients, and provide St George's Respiratory Questionnaire norms, a useful method for interpreting the St George's Respiratory Questionnaire score in a given patient or study samples."
